location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
0,,26074,26074,"Nicholson Rd  After Armadale Rd","",-32.1465133333333,115.922448333333
0,,26075,26075,"Nicholson Rd  Before Armadale Rd","",-32.1460311111111,115.922709444444
0,,26079,26079,"Park Ridge Dr After Pioneer Ct","Park Ridge Dr / Pioneer Ct",-32.67063,115.651378888889
0,,26080,26080,"Park Ridge Dr After Mulberry Cl","",-32.6651694444444,115.651353333333
0,,26081,26081,"Park Ridge Dr Before Colonial Ct","",-32.6676933333333,115.650402777778
0,,26082,26082,"Park Ridge Dr After Colonial Ct","",-32.6676683333333,115.650306666667
0,,26083,26083,"Park Ridge Dr After Pioneer Ct","Park Ridge Dr / Pioneer Ct",-32.670645,115.651237222222
0,,26084,26084,"Park Ridge Dr Before Mulberry Cl","",-32.6650472222222,115.651258333333
0,,26086,26086,"South Tce After King William St","",-32.0668944444444,115.752448888889
0,,26087,26087,"Phillimore St Fremantle Station","Phillimore St / Market St",-32.0527405555556,115.74495
0,,26089,26089,"Kingsway   After Wanneroo Rd","",-31.8131661111111,115.822179444444
0,,26090,26090,"Kingsway   After Langford Bvd","",-31.8131261111111,115.8247
0,,26091,26091,"Kingsway   Before Sovrano Av","",-31.8131238888889,115.827046111111
0,,26092,26092,"Kingsway   Before Regency Av","",-31.8132022222222,115.831546666667
0,,26093,26093,"Kingsway   After Regency Av","",-31.8132594444444,115.831477222222
0,,26094,26094,"Kingsway   After Bellerve","",-31.8132255555556,115.826918888889
0,,26095,26095,"Kingsway   Before Langford Bvd","",-31.8132394444444,115.824387777778
0,,26096,26096,"Kingsway   After Macdonagh Av","",-31.8131505555556,115.840873333333
0,,26097,26097,"Kingsway   After Scido Rise","",-31.8132416666667,115.840904444444
0,,26098,26098,"Kingsway   After Ashdale Bvd","",-31.8132111111111,115.846352222222
0,,26099,26099,"Kingsway   Before Ashdale Bvd","",-31.81329,115.846715555556
0,,26100,26100,"Parkland Rd After Harborne St","",-31.9171638888889,115.819468333333
0,,26105,26105,"Kingsway   Before Rangeview Rd","Kingsway/rangeview Rd",-31.8131877777778,115.859341111111
0,,26106,26106,"Kingsway   After Rangeview Rd","Kingsway/rangeview Rd",-31.8133161111111,115.859195555556
0,,26107,26107,"Waldburg Dr After Whyalla Ch","",-31.7140844444444,115.793542777778
0,,26108,26108,"Waldburg Dr After Clarkson Av","",-31.7170194444444,115.795133333333
0,,26109,26109,"Waldburg Dr After Alvarez Pwy","",-31.7193966666667,115.797164444444
0,,26110,26110,"Waldburg Dr After Galileo Av","",-31.7220688888889,115.797219444444
0,,26111,26111,"Waldburg Dr Before Ashley Rd","",-31.7244627777778,115.797361111111
0,,26112,26112,"Waldburg Dr After Ashely Rd","",-31.7243166666667,115.79731
0,,26113,26113,"Waldburg Dr Before Galileo Av","",-31.7221605555556,115.797147222222
0,,26114,26114,"Waldburg Dr Before Alvarez Pwy","",-31.719345,115.796991111111
0,,26115,26115,"Waldburg Dr Before Yandella Prom","",-31.717545,115.795455
0,,26116,26116,"Waldburg Dr Before Whyalla Ch","",-31.7142411111111,115.793394444444
0,,26117,26117,"Carosa Rd After Ashely Rd","",-31.7252922222222,115.799536111111
0,,26118,26118,"Carosa Rd After Conti Rd","",-31.7285505555556,115.799526111111
0,,26119,26119,"Carosa Rd After Yanez L","",-31.7342266666667,115.799261666667
0,,26120,26120,"Carosa Rd After Elton Wy","",-31.7369172222222,115.799529444444
0,,26121,26121,"Carosa Rd After Taplow Pde","",-31.73679,115.799308333333
0,,26123,26123,"Carosa Rd Before Siena Link","",-31.7341038888889,115.799188333333
0,,26124,26124,"Carosa Rd Before Conti Rd","",-31.7284988888889,115.799461111111
0,,26125,26125,"Carosa Rd Before Ashley Rd","",-31.7252983333333,115.799479444444
0,,26126,26126,"Elizabeth Rd Before Dundebar Rd","",-31.7507194444444,115.810816666667
0,,26127,26127,"Belgrade Rd After Jimbiri Wy","",-31.7522277777778,115.812670555556
0,,26128,26128,"Scott Rd After Belgrade Rd","",-31.752915,115.815911666667
0,,26129,26129,"Scott Rd Before Belgrade Rd","",-31.7526783333333,115.815727222222
0,,26130,26130,"Scott Rd After High Rd","",-31.7550222222222,115.816535555556
0,,26131,26131,"Scott Rd After Hign Rd","",-31.7549905555556,115.816623888889
0,,26132,26132,"High Rd After Quarkum St","",-31.7555838888889,115.813835555556
0,,26133,26133,"High Rd After Quarkum St","",-31.7556638888889,115.813901666667
0,,26134,26134,"Quarkum St Before Paltara Wy","",-31.7592155555556,115.813188888889
0,,26135,26135,"Quarkum St After Paltara Wy","",-31.7593427777778,115.813278333333
0,,26136,26136,"Woodvale Dr Before Woodvale Dr","",-31.7973344444444,115.796991666667
0,,26139,26139,"Joondalup Dr After Brenz Dr","",-31.7243627777778,115.769223333333
0,,26140,26140,"Joondalup Dr After Brenz Dr","",-31.7252572222222,115.769568333333
0,,26141,26141,"Hartman Dr After Prindiville Dr","Hartman Dr/prindiville Dr ",-31.7921294444444,115.828371111111
0,,26142,26142,"Hartman Dr Before Prindiville Dr","Hartman Dr/prindiville Dr ",-31.7927066666667,115.828380555556
0,,26143,26143,"Egerton Dr After Wexcombe Wy","",-31.7936627777778,115.988247777778
0,,26144,26144,"Flecker Prom After Lago Prom","",-31.7921183333333,115.986936111111
0,,26145,26145,"Flecker Prom After Pasalich Bend","",-31.7907283333333,115.984021666667
0,,26146,26146,"Flecker Prom Before Edgecombe Pass","Flecker Prom / Edgecombe Pass",-31.7883883333333,115.982173333333
0,,26147,26147,"Amethyst Pwy After Anfield Cr","",-31.78595,115.981565555556
0,,26148,26148,"Amethyst Pwy After Wistful Pde","",-31.7837222222222,115.980905555556
0,,26149,26149,"Amethyst Pwy After Hirani Link","",-31.7810883333333,115.981280555556
0,,26150,26150,"Millhouse Rd After Henley Brook Av","",-31.7798644444444,115.979764444444
0,,26151,26151,"Millhouse Rd After Henley Brook Av","",-31.7797144444444,115.979721666667
0,,26152,26152,"Amethyst Pwy After Hirani Link","",-31.7810977777778,115.981407777778
0,,26153,26153,"Amethyst Pwy Before Wistful Pde","",-31.7837622222222,115.981017222222
0,,26154,26154,"Amethyst Pwy Before Anfield Cr","",-31.7860061111111,115.981608333333
0,,26155,26155,"Flecker Prom After Edgecombe Pass","Flecker Prom / Edgecombe Pass",-31.7878683333333,115.982233888889
0,,26156,26156,"Flecker Prom After Colac Ally","",-31.79054,115.983873333333
0,,26157,26157,"Flecker Prom Before Lago Prom","",-31.7920344444444,115.986995555556
0,,26158,26158,"Egerton Dr After Swamleigh Pde","",-31.7936522222222,115.988522777778
0,,26159,26159,"Hinchinbrook Av After Carrigallen St","",-31.6531033333333,115.718938888889
0,,26160,26160,"Hinchinbrook Av After Carrigallen St","",-31.6529505555556,115.718982222222
0,,26161,26161,"Shepperton Dr After Captiva App","",-31.6514422222222,115.715668333333
0,,26162,26162,"Shepperton Dr Before Captiva App","",-31.6513794444444,115.715798888889
